,year,winner,team_one,team_two,score_one,score_two
0,2002,Maryland,Maryland,Siena,85,70
1,2002,Maryland,Maryland,Wisconsin,87,57
2,2002,Maryland,Maryland,Kentucky,78,68
3,2002,Maryland,Maryland,Connecticut,90,82
4,2002,Maryland,Maryland,Kansas,97,88
5,2002,Maryland,Maryland,Indiana,64,52
6,2002,Siena,Siena,Alcorn State,81,77
7,2002,Wisconsin,Wisconsin,St. John's,80,70
8,2002,Kentucky,Kentucky,Valparaiso,83,68
9,2002,Kentucky,Kentucky,Tulsa,87,82
10,2002,Tulsa,Marquette,Tulsa,69,71
11,2002,Connecticut,Connecticut,Hampton,78,67
12,2002,Connecticut,Connecticut,NC State,77,74
13,2002,Connecticut,Connecticut,Southern Illinois,71,59
14,2002,NC State,NC State,Michigan State,69,58
15,2002,Georgia,Georgia,Murray State,85,68
16,2002,Southern Illinois,Georgia,Southern Illinois,75,77
17,2002,Southern Illinois,Texas Tech,Southern Illinois,68,76
18,2002,Kansas,Kansas,Holy Cross,70,59
19,2002,Kansas,Kansas,Stanford,86,63
20,2002,Kansas,Kansas,Illinois,73,69
21,2002,Kansas,Kansas,Oregon,10,86
22,2002,Stanford,Stanford,Western Kentucky,84,68
23,2002,Illinois,Illinois,San Diego State,93,64
24,2002,Illinois,Illinois,Creighton,72,60
25,2002,Creighton,Florida,Creighton,83,2
26,2002,Oregon,Oregon,Montana,81,62
27,2002,Oregon,Oregon,Wake Forest,92,87
28,2002,Oregon,Oregon,Texas,72,70
29,2002,Wake Forest,Wake Forest,Pepperdine,83,74
30,2002,Mississippi State,Mississippi State,McNeese State,70,58
31,2002,Texas,Mississippi State,Texas,64,68
32,2002,Texas,Texas,Boston College,70,57
33,2003,Oklahoma,Oklahoma,South Carolina State,71,54
34,2003,Oklahoma,Oklahoma,California,74,65
35,2003,Oklahoma,Oklahoma,Butler,65,54
36,2003,Syracuse,Oklahoma,Syracuse,47,63
37,2003,Syracuse,Syracuse,Texas,95,84
38,2003,Syracuse,Syracuse,Kansas,81,78
39,2003,UNC Asheville,UNC Asheville,Texas Southern,92,84
