,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,1,North Carolina,ACC,33-4,32.77,122.5,89.7,73.1,0.011,11.64,108.7,97.1,4.26
1,2.0,1,Illinois,B10,37-2,32.68,122.3,89.6,64.1,-0.007,8.16,107.3,99.1,0.31
2,3.0,1,Duke,ACC,27-6,27.41,115.7,88.3,68.3,-0.002,10.89,109.5,98.6,1.51
3,4.0,4,Louisville,CUSA,33-5,25.78,118.8,93.0,66.3,0.045,6.42,106.1,99.7,-2.03
4,5.0,5,Michigan St.,B10,26-7,25.67,119.7,94.0,66.4,-0.013,7.89,107.0,99.1,-3.18
5,6.0,2,Oklahoma St.,B12,26-7,25.02,121.2,96.2,66.2,-0.015,9.59,108.0,98.4,5.03
6,7.0,5,Villanova,BE,24-8,25.02,114.7,89.7,67.0,-0.054,9.16,107.9,98.7,-0.89
7,8.0,2,Wake Forest,ACC,27-6,24.86,124.3,99.5,68.9,0.046,10.94,108.4,97.5,4.87
8,9.0,2,Kentucky,SEC,28-6,24.1,113.0,88.9,66.6,0.032,8.85,107.9,99.1,-2.71
9,10.0,4,Florida,SEC,24-8,23.93,116.4,92.5,65.2,-0.027,7.13,106.6,99.5,-4.3
10,11.0,3,Kansas,B12,23-7,23.08,115.6,92.5,66.5,0.008,10.45,108.1,97.7,10.37
11,12.0,3,Oklahoma,B12,25-8,22.55,114.4,91.8,65.4,-0.006,7.68,107.5,99.8,0.09
12,13.0,3,Arizona,P10,30-7,22.22,116.7,94.5,68.6,0.027,8.12,107.8,99.7,3.33
13,14.0,1,Washington,P10,29-6,22.18,120.6,98.4,71.9,0.06,8.61,107.5,98.9,6.73
14,15.0,2,Connecticut,BE,23-8,21.94,112.1,90.2,70.6,-0.031,8.52,108.5,100.0,-1.04
15,16.0,4,Syracuse,BE,27-7,20.98,115.6,94.7,65.8,0.002,6.29,106.8,100.5,-4.57
16,17.0,6,Wisconsin,B10,25-9,20.81,112.0,91.2,62.8,0.042,10.24,108.5,98.3,1.27
17,18.0,5,Alabama,SEC,24-8,20.51,118.8,98.3,62.8,0.033,6.84,106.5,99.6,-1.28
18,19.0,7,Cincinnati,CUSA,25-8,20.43,112.5,92.0,68.0,-0.006,5.48,106.1,100.6,0.62
