,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,max,final
0,2002,Alabama,24,22,21,16,22,23,21,18,14,16,14,7,5,7,5,6,8,8,5,8
1,2002,Arizona,0,8,4,7,6,11,14,15,20,15,10,19,11,9,14,14,15,7,4,7
2,2002,Ball State,0,0,16,15,20,21,0,0,0,0,0,0,0,0,0,0,0,0,15,0
3,2002,Boston College,17,17,15,13,11,10,11,11,16,22,0,0,0,0,0,0,0,0,10,0
4,2002,Butler,0,0,0,0,0,0,23,20,24,0,0,0,0,0,0,0,0,0,20,0
8,2002,California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0,21,0
15,2002,Cincinnati,0,0,0,0,0,25,17,13,10,7,4,4,6,5,4,4,5,5,4,5
25,2002,Duke,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,1,1,1
38,2002,Florida,6,7,6,6,5,4,3,3,3,2,5,5,8,6,8,8,11,15,2,15
56,2002,Fresno State,0,23,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
74,2002,Georgetown,14,16,18,19,18,16,20,24,0,0,0,0,0,0,0,0,0,0,14,0
92,2002,Georgia,0,0,0,0,0,0,0,0,0,20,15,16,17,21,18,16,17,23,15,23
111,2002,Gonzaga,0,0,0,0,25,24,22,22,18,13,16,11,9,8,7,7,6,6,6,6
129,2002,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
147,2002,Illinois,3,2,2,5,10,9,7,7,9,11,9,12,21,18,16,15,10,13,2,13
165,2002,Indiana,22,20,0,0,21,0,0,0,0,25,0,0,0,22,23,25,23,0,20,0
183,2002,Iowa,9,9,7,12,15,12,9,9,13,17,0,0,0,0,0,0,0,0,7,0
201,2002,Kansas,7,4,8,4,4,3,2,2,1,4,2,2,2,2,1,1,1,2,1,2
219,2002,Kentucky,4,10,13,11,9,7,6,6,8,12,8,10,7,10,12,11,12,16,4,16
238,2002,Marquette,0,0,23,17,14,14,19,25,0,0,0,0,18,11,9,9,13,12,9,12
256,2002,Maryland,2,6,5,3,3,2,8,8,4,3,3,3,3,3,2,2,2,4,2,4
274,2002,Memphis,12,12,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
293,2002,Miami (FL),0,0,0,0,0,0,24,21,21,24,22,15,12,13,17,22,20,21,12,21
312,2002,Michigan State,15,13,22,24,23,17,13,19,25,0,0,0,0,0,0,0,0,0,13,0
330,2002,Mississippi State,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,17,17,17
348,2002,Missouri,8,5,3,2,2,8,10,17,17,21,18,22,22,0,0,0,0,0,2,0
366,2002,NC State,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0
384,2002,Ohio State,0,0,0,0,0,0,0,0,0,0,20,25,16,23,19,18,21,14,14,14
403,2002,Oklahoma,25,0,0,0,24,22,12,10,5,5,6,6,4,4,6,5,4,3,3,3
422,2002,Oklahoma State,18,15,14,10,8,6,5,5,6,6,11,9,14,16,13,12,14,20,5,20
441,2002,Oregon,0,0,0,0,0,0,0,0,0,23,19,0,13,17,15,13,9,11,9,11
459,2002,Pitt,0,0,0,0,0,0,0,0,23,0,0,21,0,14,11,10,7,9,7,9
460,2002,St. Joseph's,10,19,19,18,16,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0
478,2002,Stanford,13,14,11,14,12,13,16,12,14,19,17,18,20,12,10,17,16,24,10,24
497,2002,Syracuse,21,18,12,9,13,18,18,16,12,8,12,14,23,0,0,0,0,0,8,0
515,2002,Temple,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
533,2002,Texas,23,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,23,0
552,2002,Texas Tech,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,20,0
553,2002,UCLA,5,3,10,20,17,19,15,14,11,9,13,13,15,20,25,0,0,0,3,0
571,2002,UConn,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,23,19,10,10,10
591,2002,UNC,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
609,2002,USC,20,24,0,0,0,0,0,0,0,18,23,23,25,25,20,19,22,18,18,18
628,2002,Virginia,11,11,9,8,7,5,4,4,7,10,7,8,10,15,22,0,0,0,4,0
646,2002,Wake Forest,0,0,25,23,19,20,25,23,19,14,21,24,19,19,20,24,0,0,14,0
663,2002,Western Kentucky,0,21,17,25,0,0,0,0,0,0,0,0,0,0,24,20,18,19,17,19
681,2002,Xavier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,22,22
