,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,max,final
62,2019,Arizona State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,20,18,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,9223372036854775807
80,2019,Auburn,11,9,8,8,8,8,7,12,12,11,14,16,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,14,7,14
98,2019,Buffalo,9223372036854775807,25,22,21,17,14,14,21,20,19,16,14,18,23,25,25,21,19,18,15,14,15
117,2019,Cincinnati,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,23,20,24,22,20,22
135,2019,Clemson,22,19,16,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
153,2019,Duke,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,1,3,4,5,1,1,1
171,2019,Florida State,17,14,14,15,11,10,11,9,9,13,11,9223372036854775807,25,22,17,16,18,14,12,10,9,10
189,2019,Furman,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,23,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,9223372036854775807
207,2019,Gonzaga,3,3,3,1,1,4,8,7,7,5,5,4,4,4,3,2,1,1,1,4,1,4
225,2019,Houston,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,21,22,19,17,21,17,13,12,9,9,8,12,11,11,8,11
244,2019,Indiana,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,22,23,21,22,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,21,9223372036854775807
262,2019,Iowa,9223372036854775807,9223372036854775807,20,14,18,22,23,24,25,9223372036854775807,23,19,9223372036854775807,20,21,21,22,9223372036854775807,9223372036854775807,9223372036854775807,14,9223372036854775807
280,2019,Iowa State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,9223372036854775807,24,20,17,23,19,9223372036854775807,9223372036854775807,9223372036854775807,24,17,24
300,2019,Kansas,1,2,2,2,2,1,1,5,5,7,7,9,11,13,14,12,15,13,17,17,1,17
318,2019,Kansas State,12,12,12,12,16,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,18,23,16,18,15,18,12,18
336,2019,Kentucky,2,10,10,10,9,19,19,16,13,18,12,8,7,5,5,4,4,6,4,7,2,7
354,2019,LSU,23,22,19,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,19,21,19,13,13,10,9,12,9,12
372,2019,Louisville,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,15,16,16,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,15,9223372036854775807
390,2019,Marquette,9223372036854775807,24,9223372036854775807,9223372036854775807,9223372036854775807,21,20,18,16,21,15,12,10,10,10,11,10,16,23,9223372036854775807,10,9223372036854775807
409,2019,Maryland,9223372036854775807,9223372036854775807,9223372036854775807,24,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,13,21,24,24,24,17,24,21,9223372036854775807,13,9223372036854775807
428,2019,Michigan,19,18,9,7,5,5,4,2,2,2,2,5,5,7,6,7,9,7,10,8,2,8
447,2019,Michigan State,10,11,11,9,10,9,10,8,8,6,6,6,6,9,11,10,6,9,6,5,5,5
466,2019,Mississippi State,18,17,15,25,22,18,17,19,17,14,24,22,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,14,9223372036854775807
484,2019,NC State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,18,15,17,21,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,15,9223372036854775807
503,2019,Nebraska,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807,25,9223372036854775807,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807
521,2019,Nevada,7,6,6,5,6,7,6,6,6,10,10,7,8,6,7,6,12,17,14,20,5,20
539,2019,Ohio State,9223372036854775807,9223372036854775807,23,16,19,15,15,13,14,16,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,13,9223372036854775807
559,2019,Oklahoma,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,23,23,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,9223372036854775807
577,2019,Ole Miss,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,18,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,18,9223372036854775807
597,2019,Oregon,14,13,21,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,13,9223372036854775807
615,2019,Purdue,24,23,24,19,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,15,12,15,14,11,13,13,11,13
634,2019,St. John's (NY),9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807
652,2019,Syracuse,16,15,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,15,9223372036854775807
669,2019,TCU,20,21,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,18,9223372036854775807
687,2019,Tennessee,6,5,5,6,7,3,3,3,3,3,3,1,1,1,1,5,7,5,8,6,1,6
703,2019,Texas,9223372036854775807,9223372036854775807,9223372036854775807,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,9223372036854775807
719,2019,Texas Tech,9223372036854775807,9223372036854775807,9223372036854775807,20,13,11,12,11,11,8,8,14,16,18,15,14,11,8,7,9,7,9
735,2019,UCF,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,25,9223372036854775807
750,2019,UCLA,21,20,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,9223372036854775807
763,2019,UNC,8,7,7,11,14,12,9,14,15,12,13,11,9,8,8,8,5,3,3,3,3,3
776,2019,Utah State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,25,25
787,2019,Villanova,9,8,9223372036854775807,23,21,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,18,14,14,13,17,9223372036854775807,23,25,23,8,23
796,2019,Virginia,5,4,4,4,4,6,5,4,4,4,4,3,3,3,4,3,2,2,2,2,2,2
801,2019,Virginia Tech,15,16,13,13,15,13,13,10,10,9,9,10,12,11,22,20,20,15,16,16,9,16
804,2019,Washington,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807
807,2019,West Virginia,13,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,13,9223372036854775807
