,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,50.6,7.0,.476,.344,.260,.364,29,12,9,2,8,1887,2002,Alabama,9.40,13.36,16.4,52.6,.516,.586,17,7,13,1
1,57.1,7.7,.518,.220,.305,.453,32,12,7,3,6,2257,2464,Arizona State,9.27,15.01,16.4,53.0,.552,.625,20,11,12,4
2,58.5,6.5,.515,.306,.261,.368,32,4,1,1,1,2262,2725,Arizona,8.95,23.42,15.9,54.0,.549,.875,28,17,14,11
3,52.0,9.1,.517,.303,.239,.362,34,12,8,4,5,2235,2408,Auburn,8.34,12.68,19.6,51.5,.543,.647,22,8,13,4
4,55.9,8.1,.518,.336,.301,.436,31,8,3,0,7,2101,2204,Austin Peay,-1.98,-0.84,19.3,50.9,.554,.742,23,13,14,6
5,55.9,5.0,.521,.313,.348,.461,32,9,3,1,5,2032,2299,Brigham Young,5.29,13.63,17.8,53.3,.570,.719,23,11,13,6
6,53.4,3.5,.558,.422,.231,.322,33,6,2,0,5,1986,2229,Butler,2.23,9.11,15.6,47.9,.584,.818,27,14,13,10
7,57.5,4.8,.520,.291,.225,.330,31,9,5,1,4,2171,2301,University of California,7.58,11.77,17.1,50.7,.547,.710,22,13,13,7
8,58.3,6.5,.569,.335,.351,.460,32,7,4,1,5,2346,2553,Central Michigan,1.79,6.85,21.6,52.1,.611,.781,25,14,12,9
9,53.5,8.1,.463,.347,.256,.371,29,12,7,3,7,1796,1954,Cincinnati,7.45,12.90,13.6,50.2,.503,.586,17,9,13,3
10,58.7,7.8,.545,.219,.324,.465,33,14,9,4,9,2363,2450,Colorado State,4.41,5.38,20.7,53.3,.579,.576,19,5,14,3
11,48.8,10.6,.484,.248,.259,.387,32,12,7,1,9,2251,2405,Colorado,8.01,12.82,16.1,53.5,.518,.625,20,9,14,3
12,52.1,11.7,.516,.247,.242,.358,33,10,6,2,6,2351,2622,Connecticut,7.63,15.84,17.4,53.4,.545,.697,23,10,14,5
13,59.0,8.1,.567,.354,.240,.347,34,5,3,0,4,2202,2688,Creighton,1.03,15.33,16.8,51.2,.590,.853,29,15,17,7
14,61.2,5.2,.520,.386,.292,.410,30,6,2,1,4,2007,2182,Dayton,5.17,11.00,16.9,53.6,.558,.800,24,14,17,7
15,49.5,9.4,.514,.339,.323,.453,33,7,5,0,6,2298,2677,Duke,8.38,19.86,16.1,51.0,.556,.788,26,11,15,3
16,49.8,8.1,.508,.245,.299,.409,31,11,5,2,8,2332,2543,East Tennessee State,-2.94,-0.90,19.5,51.7,.551,.645,20,11,11,5
