,opp_ast,opp_blk,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_trb,team_name,type
0,,,282nd,,,,,,,42nd,315th,,,,,201st,75th,,234th,xavier,team_stats
1,,,269th,,,,,,,144th,285th,,,,,251st,89th,,247th,western-kentucky,team_stats
2,,,151st,,,,,,,145th,176th,,,,,60th,6th,,99th,wisconsin,team_stats
3,,,266th,,,,,,,253rd,231st,,,,,230th,112th,,142nd,weber-state,team_stats
4,,,173rd,,,,,,,11th,284th,,,,,191st,118th,,108th,wake-forest,team_stats
5,,,228th,,,,,,,51st,287th,,,,,199th,40th,,201st,vermont,team_stats
6,,,317th,,,,,,,276th,280th,,,,,303rd,228th,,179th,wagner,team_stats
7,,,81st,,,,,,,57th,130th,,,,,109th,14th,,141st,utah,team_stats
8,,,165th,,,,,,,158th,181st,,,,,102nd,9th,,41st,utah-state,team_stats
9,,,237th,,,,,,,13th,304th,,,,,225th,60th,,298th,tulsa,team_stats
10,,,279th,,,,,,,58th,309th,,,,,284th,195th,,318th,troy,team_stats
11,,,291st,,,,,,,62nd,313th,,,,,301st,171st,,297th,texas,team_stats
12,,,272nd,,,,,,,122nd,291st,,,,,266th,220th,,238th,texas-southern,team_stats
13,,,198th,,,,,,,225th,167th,,,,,201st,127th,,219th,southern-illinois,team_stats
14,,,250th,,,,,,,33rd,301st,,,,,269th,111th,,263rd,stanford,team_stats
15,,,321st,,,,,,,5th,325th,,,,,322nd,166th,,324th,syracuse,team_stats
16,,,192nd,,,,,,,64th,260th,,,,,263rd,211th,,256th,south-carolina-state,team_stats
17,,,84th,,,,,,,8th,227th,,,,,88th,54th,,203rd,sam-houston-state,team_stats
18,,,245th,,,,,,,126th,272nd,,,,,218th,216th,,116th,san-diego,team_stats
19,,,87th,,,,,,,50th,148th,,,,,93rd,61st,,169th,purdue,team_stats
20,,,92nd,,,,,,,5th,244th,,,,,90th,5th,,99th,pittsburgh,team_stats
21,1st,1st,12th,2nd,1st,3rd,1st,1st,2nd,1st,143rd,2nd,1st,3rd,2nd,20th,7th,2nd,217th,saint-josephs,team_stats
22,,,183rd,,,,,,,51st,265th,,,,,150th,10th,,253rd,oklahoma,team_stats
23,,,6th,,,,,,,33rd,23rd,,,,,5th,11th,,7th,pennsylvania,team_stats
24,,,311th,,,,,,,93rd,319th,,,,,321st,260th,,311th,oregon,team_stats
25,,,112th,,,,,,,9th,256th,,,,,117th,28th,,288th,oklahoma-state,team_stats
26,,,324th,,,,,,,48th,324th,,,,,320th,212th,,323rd,notre-dame,team_stats
27,,,53rd,,,,,,,22nd,125th,,,,,46th,12th,,243rd,north-carolina-wilmington,team_stats
28,,,165th,,,,,,,190th,160th,,,,,204th,128th,,116th,north-carolina-state,team_stats
29,,,282nd,,,,,,,38th,317th,,,,,271st,113th,,307th,missouri,team_stats
30,,,75th,,,,,,,16th,174th,,,,,41st,8th,,65th,mississippi-state,team_stats
31,,,322nd,,,,,,,234th,311th,,,,,326th,315th,,306th,north-carolina-asheville,team_stats
32,,,222nd,,,,,,,171st,238th,,,,,274th,177th,,253rd,milwaukee,team_stats
33,,,133rd,,,,,,,21st,251st,,,,,218th,18th,,177th,michigan-state,team_stats
34,,,125th,,,,,,,27th,231st,,,,,111th,87th,,233rd,memphis,team_stats
35,,,122nd,,,,,,,3rd,288th,,,,,167th,94th,,295th,maryland,team_stats
36,,,288th,,,,,,,63rd,310th,,,,,297th,161st,,217th,marquette,team_stats
37,,,112th,,,,,,,90th,161st,,,,,150th,123rd,,229th,manhattan,team_stats
38,,,158th,,,,,,,36th,258th,,,,,254th,139th,,292nd,louisville,team_stats
39,,,326th,,,,,,,19th,326th,,,,,327th,97th,,322nd,kansas,team_stats
40,,,303rd,,,,,,,61st,318th,,,,,304th,44th,,271st,kentucky,team_stats
41,,,178th,,,,,,,46th,263rd,,,,,141st,33rd,,197th,louisiana-state,team_stats
42,,,320th,,,,,,,312th,276th,,,,,318th,198th,,258th,iupui,team_stats
43,,,299th,,,,,,,65th,316th,,,,,292nd,100th,,313th,indiana,team_stats
44,,,57th,,,,,,,2nd,235th,,,,,97th,20th,,191st,illinois,team_stats
45,,,270th,,,,,,,111th,297th,,,,,291st,152nd,,195th,gonzaga,team_stats
46,,,38th,,,,,,,29th,97th,,,,,27th,3rd,,19th,holy-cross,team_stats
47,,,307th,,,,,,,146th,302nd,,,,,308th,285th,,277th,east-tennessee-state,team_stats
48,,,268th,,,,,,,102nd,292nd,,,,,213th,46th,,267th,florida,team_stats
49,,,157th,,,,,,,121st,203rd,,,,,118th,99th,,57th,dayton,team_stats
50,,,294th,,,,,,,160th,294th,,,,,257th,51st,,257th,creighton,team_stats
51,,,296th,,,,,,,151st,298th,,,,,300th,169th,,298th,duke,team_stats
52,,,294th,,,,,,,4th,323rd,,,,,312th,210th,,315th,connecticut,team_stats
53,,,286th,,,,,,,20th,320th,,,,,279th,186th,,304th,colorado,team_stats
54,,,306th,,,,,,,162nd,300th,,,,,314th,222nd,,164th,colorado-state,team_stats
55,,,314th,,,,,,,264th,283rd,,,,,310th,255th,,108th,central-michigan,team_stats
56,,,15th,,,,,,,17th,66th,,,,,24th,23rd,,154th,cincinnati,team_stats
57,,,69th,,,,,,,31st,145th,,,,,143rd,35th,,107th,brigham-young,team_stats
58,,,205th,,,,,,,209th,199th,,,,,107th,13th,,128th,butler,team_stats
59,,,257th,,,,,,,156th,270th,,,,,237th,179th,,215th,california,team_stats
60,,,211th,,,,,,,133rd,246th,,,,,189th,117th,,195th,austin-peay,team_stats
61,,,282nd,,,,,,,71st,303rd,,,,,273rd,67th,,283rd,auburn,team_stats
62,,,311th,,,,,,,35th,321st,,,,,284th,195th,,301st,arizona,team_stats
63,,,279th,,,,,,,221st,269th,,,,,283rd,191st,,171st,arizona-state,team_stats
64,,,75th,,,,,,,75th,115th,,,,,58th,55th,,84th,alabama,team_stats
