,opp_fg,opp_fg_pct,opp_fga,opp_pts,opp_pts_per_g,opp_trb,team_name,type
0,265th,128th,287th,214th,98th,160th,xavier,team_stats
1,101st,96th,152nd,98th,35th,186th,wright-state,team_stats
2,182nd,44th,267th,120th,11th,197th,wisconsin,team_stats
3,145th,46th,235th,121st,28th,145th,winthrop,team_stats
4,232nd,171st,241st,200th,190th,104th,weber-state,team_stats
5,86th,29th,190th,77th,17th,234th,washington-state,team_stats
6,197th,40th,284th,246th,227th,211th,virginia,team_stats
7,163rd,81st,238th,186th,64th,269th,virginia-tech,team_stats
8,250th,237th,219th,264th,103rd,242nd,virginia-commonwealth,team_stats
9,76th,47th,152nd,146th,74th,134th,villanova,team_stats
10,304th,161st,298th,302nd,212th,311th,vanderbilt,team_stats
11,179th,112th,225th,117th,10th,138th,ucla,team_stats
12,324th,53rd,331st,330th,259th,329th,texas,team_stats
13,316th,261st,277th,288th,187th,303rd,texas-tech,team_stats
14,41st,2nd,218th,74th,16th,132nd,texas-am,team_stats
15,222nd,148th,238th,266th,203rd,38th,texas-am-corpus-christi,team_stats
16,329th,249th,309th,336th,299th,327th,tennessee,team_stats
17,127th,66th,204th,117th,132nd,87th,stanford,team_stats
18,28th,83rd,48th,76th,3rd,98th,southern-illinois,team_stats
19,301st,11th,330th,309th,92nd,325th,southern-california,team_stats
20,145th,114th,187th,163rd,55th,182nd,purdue,team_stats
21,264th,38th,319th,275th,49th,263rd,pittsburgh,team_stats
22,142nd,159th,149th,127th,150th,119th,pennsylvania,team_stats
23,330th,170th,324th,318th,114th,301st,oregon,team_stats
24,227th,82nd,279th,193rd,81st,148th,oral-roberts,team_stats
25,101st,56th,178th,94th,33rd,172nd,old-dominion,team_stats
26,327th,28th,333rd,311th,32nd,324th,ohio-state,team_stats
27,210th,80th,271st,180th,155th,199th,notre-dame,team_stats
28,245th,78th,296th,313th,230th,281st,north-texas,team_stats
29,334th,75th,335th,334th,171st,315th,north-carolina,team_stats
30,335th,295th,325th,335th,294th,308th,niagara,team_stats
31,305th,167th,297th,321st,264th,239th,new-mexico-state,team_stats
32,293rd,42nd,323rd,263rd,143rd,179th,nevada,team_stats
33,315th,120th,320th,324th,123rd,328th,nevada-las-vegas,team_stats
34,38th,6th,185th,59th,6th,47th,michigan-state,team_stats
35,37th,36th,106th,22nd,7th,87th,miami-oh,team_stats
36,210th,12th,317th,280th,50th,323rd,memphis,team_stats
37,262nd,8th,326th,261st,139th,321st,maryland,team_stats
38,165th,91st,232nd,194th,82nd,256th,marquette,team_stats
39,97th,25th,205th,152nd,51st,293rd,louisville,team_stats
40,308th,199th,291st,307th,305th,304th,long-beach-state,team_stats
41,288th,52nd,321st,266th,147th,247th,kentucky,team_stats
42,238th,4th,328th,284th,29th,319th,kansas,team_stats
43,324th,225th,313th,331st,282nd,333rd,jackson-state,team_stats
44,30th,74th,58th,49th,30th,79th,indiana,team_stats
45,67th,20th,172nd,55th,4th,136th,illinois,team_stats
46,29th,64th,61st,40th,8th,25th,holy-cross,team_stats
47,234th,18th,316th,299th,210th,257th,gonzaga,team_stats
48,149th,166th,151st,204th,195th,57th,georgia-tech,team_stats
49,140th,5th,293rd,153rd,12th,138th,georgetown,team_stats
50,67th,60th,131st,109th,73rd,166th,george-washington,team_stats
51,332nd,38th,334th,328th,43rd,280th,florida,team_stats
52,289th,88th,314th,323rd,221st,285th,florida-am,team_stats
53,192nd,246th,149th,122nd,54th,157th,eastern-kentucky,team_stats
54,173rd,102nd,234th,96th,34th,79th,duke,team_stats
55,272nd,105th,302nd,281st,175th,275th,davidson,team_stats
56,86th,75th,152nd,66th,24th,101st,creighton,team_stats
57,272nd,191st,270th,228th,109th,231st,central-connecticut-state,team_stats
58,65th,35th,152nd,103rd,5th,239th,butler,team_stats
59,277th,143rd,288th,286th,184th,160th,brigham-young,team_stats
60,323rd,204th,312th,268th,204th,190th,boston-college,team_stats
61,149th,13th,280th,141st,71st,257th,belmont,team_stats
62,311th,182nd,301st,228th,266th,60th,arizona,team_stats
63,265th,48th,315th,271st,108th,265th,arkansas,team_stats
64,140th,168th,143rd,155th,86th,99th,albany-ny,team_stats
