,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_pts,opp_pts_per_g,opp_tov,opp_trb,team_name,type
0,190th,192nd,10th,315th,184th,76th,218th,8th,297th,175th,39th,179th,164th,xavier,team_stats
1,275th,270th,165th,266th,235th,211th,220th,191st,269th,249th,150th,147th,168th,western-kentucky,team_stats
2,176th,243rd,126th,248th,37th,13th,119th,111th,212th,174th,37th,33rd,219th,west-virginia,team_stats
3,66th,127th,229th,109th,24th,69th,42nd,206th,61st,47th,10th,286th,19th,wisconsin,team_stats
4,314th,325th,72nd,334th,174th,105th,205th,91st,329th,311th,218th,52nd,240th,washington,team_stats
5,195th,182nd,63rd,234th,207th,17th,290th,31st,282nd,196th,255th,92nd,155th,wake-forest,team_stats
6,296th,170th,64th,227th,340th,144th,342nd,40th,332nd,331st,158th,15th,314th,villanova,team_stats
7,123rd,122nd,23rd,247th,164th,147th,173rd,26th,240th,167th,66th,82nd,263rd,virginia-commonwealth,team_stats
8,210th,207th,47th,277th,193rd,289th,135th,94th,247th,179th,40th,306th,30th,utah-state,team_stats
9,242nd,235th,33rd,309th,215th,181st,215th,45th,288th,262nd,113th,106th,277th,texas,team_stats
10,181st,213th,22nd,313th,104th,269th,72nd,42nd,262nd,198th,91st,318th,85th,utah,team_stats
11,244th,264th,174th,254th,141st,280th,91st,244th,204th,228th,79th,25th,97th,ucla,team_stats
12,302nd,276th,286th,215th,314th,136th,325th,233rd,284th,318th,295th,61st,257th,tennessee,team_stats
13,283rd,279th,105th,296th,231st,300th,173rd,178th,278th,252nd,151st,224th,156th,texas-am,team_stats
14,205th,163rd,32nd,261st,255th,213th,246th,43rd,273rd,170th,68th,258th,231st,temple,team_stats
15,4th,49th,20th,165th,2nd,1st,27th,2nd,85th,7th,2nd,96th,180th,stephen-f-austin,team_stats
16,343rd,342nd,182nd,337th,335th,6th,343rd,65th,344th,341st,276th,28th,341st,syracuse,team_stats
