,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,46th,12th,168th,98th,64th,33rd,181st,233rd,210th,206th,59th,194th,7th,249th,6th,70th,73rd,35th,7th,94th,260th,106th,wyoming,team_stats
1,10th,214th,256th,150th,221st,145th,239th,45th,32nd,111th,111th,189th,169th,243rd,151st,75th,69th,115th,20th,86th,82nd,163rd,wofford,team_stats
2,337th,308th,276th,331st,313th,236th,286th,339th,198th,342nd,202nd,325th,203rd,85th,226th,184th,8th,335th,196th,332nd,52nd,255th,xavier,team_stats
3,62nd,26th,288th,339th,342nd,67th,350th,156th,315th,80th,171st,339th,11th,277th,8th,65th,17th,292nd,12th,26th,258th,195th,wisconsin,team_stats
4,9th,224th,220th,48th,82nd,18th,220th,90th,230th,69th,52nd,152nd,161st,176th,156th,85th,86th,56th,10th,4th,52nd,146th,wichita-state,team_stats
5,192nd,335th,328th,204th,235th,323rd,126th,103rd,288th,54th,328th,73rd,350th,162nd,350th,99th,2nd,298th,174th,183rd,1st,278th,west-virginia,team_stats
6,8th,72nd,40th,7th,7th,3rd,100th,103rd,29th,198th,3rd,129th,6th,9th,13th,31st,257th,4th,1st,51st,289th,22nd,virginia,team_stats
7,325th,271st,350th,296th,277th,209th,255th,270th,195th,268th,198th,284th,268th,168th,275th,241st,46th,312th,148th,235th,5th,345th,virginia-commonwealth,team_stats
8,258th,84th,213th,269th,289th,91st,309th,113th,23rd,209th,72nd,313th,100th,105th,109th,301st,23rd,210th,42nd,155th,19th,270th,villanova,team_stats
9,141st,184th,88th,44th,25th,6th,140th,268th,122nd,294th,6th,218th,118th,256th,100th,121st,120th,65th,18th,293rd,165th,89th,valparaiso,team_stats
10,7th,178th,57th,74th,151st,5th,294th,34th,45th,78th,8th,239th,133rd,124th,135th,173rd,35th,47th,8th,149th,185th,89th,utah,team_stats
11,341st,245th,331st,318th,246th,95th,277th,349th,251st,347th,108th,332nd,209th,194th,204th,250th,70th,330th,219th,293rd,102nd,316th,ucla,team_stats
12,52nd,146th,49th,67th,68th,1st,308th,163rd,204th,150th,4th,292nd,167th,41st,206th,255th,96th,83rd,35th,249th,346th,122nd,texas,team_stats
13,235th,303rd,218th,329th,341st,216th,339th,113th,190th,112th,255th,316th,142nd,17th,191st,332nd,13th,317th,223rd,293rd,121st,297th,texas-southern,team_stats
14,44th,207th,33rd,133rd,247th,187th,232nd,15th,133rd,12th,219th,97th,339th,191st,340th,106th,12th,204th,118th,198th,3rd,41st,stephen-f-austin,team_stats
15,293rd,198th,323rd,262nd,215th,76th,269th,274th,113th,303rd,75th,307th,134th,16th,177th,344th,138th,251st,210th,48th,110th,342nd,st-johns-ny,team_stats
16,235th,271st,19th,48th,4th,20th,28th,345th,88th,351st,5th,225th,54th,104th,60th,218th,80th,69th,21st,283rd,91st,58th,southern-methodist,team_stats
17,20th,323rd,278th,100th,151st,16th,279th,68th,16th,162nd,7th,270th,8th,188th,8th,204th,156th,26th,2nd,172nd,46th,260th,san-diego-state,team_stats
18,350th,251st,296th,308th,280th,211th,258th,301st,172nd,314th,183rd,304th,252nd,33rd,291st,345th,112th,323rd,236th,283rd,18th,328th,robert-morris,team_stats
19,121st,184th,78th,175th,189th,17th,296th,145th,222nd,123rd,50th,273rd,273rd,180th,278th,265th,37th,211th,124th,315th,216th,161st,purdue,team_stats
20,205th,167th,179th,199th,170th,158th,189th,226th,129th,248th,123rd,219th,262nd,156th,269th,150th,62nd,242nd,141st,155th,90th,169th,providence,team_stats
21,255th,84th,312th,344th,333rd,142nd,340th,277th,108th,308th,129th,345th,294th,191st,300th,330th,112th,341st,288th,189th,172nd,326th,oregon,team_stats
22,51st,198th,146th,30th,57th,34th,170th,76th,169th,80th,63rd,104th,246th,138th,255th,207th,183rd,57th,73rd,142nd,102nd,180th,oklahoma-state,team_stats
23,155th,299th,319th,263rd,231st,15th,314th,255th,55th,316th,11th,333rd,58th,20th,97th,335th,105th,212th,71st,283rd,47th,336th,oklahoma,team_stats
24,314th,112th,204th,258th,195th,89th,252nd,292nd,71st,330th,62nd,312th,60th,256th,46th,316th,116th,224th,80th,69th,24th,277th,ohio-state,team_stats
25,329th,65th,287th,348th,348th,172nd,349th,264th,89th,303rd,164th,349th,50th,291st,36th,339th,95th,336th,147th,155th,138th,320th,notre-dame,team_stats
26,20th,21st,44th,37th,33rd,52nd,98th,199th,67th,251st,29th,162nd,11th,281st,7th,80th,72nd,16th,4th,39th,225th,38th,northern-iowa,team_stats
27,279th,238th,40th,326th,337th,240th,329th,113th,190th,112th,271st,309th,14th,151st,14th,52nd,77th,272nd,137th,337th,299th,28th,northeastern,team_stats
28,209th,82nd,252nd,328th,345th,189th,344th,51st,35th,117th,187th,324th,188th,90th,207th,314th,71st,316th,220th,299th,138th,294th,north-florida,team_stats
29,97th,15th,264th,127th,101st,72nd,185th,208th,295th,134th,121st,156th,71st,345th,32nd,2nd,230th,88th,64th,8th,304th,96th,north-dakota-state,team_stats
30,324th,338th,258th,337th,323rd,97th,335th,315th,13th,350th,43rd,350th,342nd,227th,345th,350th,32nd,350th,244th,341st,47th,325th,north-carolina,team_stats
31,248th,330th,319th,303rd,302nd,40th,334th,206th,110th,236th,60th,329th,280th,251st,272nd,318th,41st,309th,146th,123rd,299th,322nd,north-carolina-state,team_stats
32,93rd,6th,9th,186th,313th,119th,316th,3rd,25th,5th,150th,193rd,81st,175th,74th,167th,67th,72nd,22nd,89th,77th,30th,new-mexico-state,team_stats
33,336th,258th,283rd,204th,57th,37th,162nd,346th,256th,341st,67th,281st,315th,131st,319th,298th,93rd,291st,235th,39th,128th,300th,mississippi,team_stats
34,202nd,184th,335th,306th,295th,43rd,330th,250th,44th,317th,36th,340th,343rd,321st,338th,274th,24th,331st,95th,257th,162nd,322nd,michigan-state,team_stats
35,131st,146th,213th,270th,204th,53rd,281st,304th,59th,344th,29th,322nd,42nd,32nd,69th,313th,20th,233rd,87th,183rd,225th,279th,maryland,team_stats
36,283rd,286th,213th,146th,269th,192nd,253rd,9th,76th,11th,214th,119th,348th,202nd,348th,218th,15th,249th,206th,291st,10th,231st,manhattan,team_stats
37,245th,108th,327th,223rd,254th,32nd,310th,98th,19th,201st,23rd,311th,144th,36th,181st,314th,34th,180th,24th,218th,21st,327th,louisville,team_stats
