,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,56.6,7.9,.507,.373,.284,.383,31,11,5,3,8,105.0,2024,30.6,71.1,2352,Abilene Christian,-6.87,-2.87,13.1,16.9,50.1,.549,.645,20,15,13,7
1,58.2,4.6,.534,.417,.261,.357,32,20,13,7,9,106.0,2386,22.7,68.9,2338,Air Force,3.02,-0.37,7.3,16.1,50.0,.568,.375,12,5,8,3
2,51.4,7.3,.521,.444,.271,.352,31,7,4,2,4,107.2,2062,27.9,70.6,2348,Akron,-0.40,7.15,7.2,16.0,50.7,.562,.774,24,14,15,8
3,49.4,5.9,.426,.316,.220,.328,30,22,13,5,16,88.1,2146,24.7,69.5,1845,Alabama A&M,-8.85,-18.88,8.2,16.4,47.3,.464,.267,8,5,6,2
4,43.2,8.7,.503,.300,.247,.351,32,13,9,6,7,100.2,2088,31.7,67.2,2154,Alabama-Birmingham,-1.64,-0.94,8.9,19.0,54.7,.537,.594,19,9,11,5
5,47.6,6.0,.446,.390,.222,.357,32,24,11,5,16,86.7,2273,25.7,70.8,1965,Alabama State,-6.53,-16.15,8.8,19.9,47.1,.477,.250,8,7,4,2
6,51.6,10.4,.522,.489,.256,.369,31,15,10,5,8,106.0,2449,29.8,76.1,2542,Alabama,8.12,11.12,8.2,16.7,49.7,.553,.516,16,8,10,4
7,56.4,7.9,.482,.438,.239,.339,32,18,9,7,11,95.0,2190,24.1,69.7,2127,Albany (NY),-5.91,-8.78,8.0,17.5,49.8,.518,.438,14,7,7,5
8,51.5,8.4,.500,.399,.226,.304,30,15,7,2,13,102.5,2196,30.2,72.6,2251,Alcorn State,-9.64,-14.64,10.9,17.1,51.3,.536,.500,15,11,11,4
9,48.1,9.3,.516,.347,.201,.286,30,14,6,4,10,103.5,2085,26.5,69.0,2149,American,-6.50,-4.37,11.5,15.7,48.5,.543,.533,16,12,10,6
10,49.2,6.5,.489,.388,.274,.412,33,15,9,5,9,99.3,2222,27.7,68.6,2256,Appalachian State,-0.01,-0.81,10.8,17.0,49.7,.524,.545,18,11,10,7
11,42.3,9.4,.488,.369,.225,.324,31,11,7,3,5,100.1,2184,26.5,73.7,2288,Arizona State,8.10,11.46,10.9,15.7,48.5,.521,.645,20,11,13,6
12,57.9,10.6,.507,.347,.269,.367,32,11,8,4,6,107.9,2090,30.7,70.3,2445,Arizona,8.40,19.49,9.5,14.5,52.5,.546,.656,21,10,13,4
13,59.5,10.4,.527,.328,.319,.450,31,10,5,2,8,104.4,2152,30.7,70.2,2270,Little Rock,-1.07,2.27,9.8,19.3,52.2,.566,.677,21,15,13,8
14,49.1,9.8,.435,.289,.220,.374,30,26,15,8,18,79.3,2049,27.9,67.6,1615,Arkansas-Pine Bluff,-6.41,-21.65,10.7,23.3,48.9,.462,.133,4,3,2,2
15,58.9,7.6,.490,.317,.336,.474,32,16,12,7,9,102.4,2301,28.8,68.5,2262,Arkansas State,-0.72,-2.92,10.0,16.5,49.3,.537,.500,16,8,10,6
16,47.2,10.2,.509,.399,.311,.425,32,12,11,4,8,104.5,2228,21.4,71.4,2426,Arkansas,7.27,13.46,10.9,14.4,45.1,.553,.625,20,7,14,4
17,59.3,4.6,.533,.370,.156,.253,30,15,8,6,9,100.9,2161,20.0,69.7,2128,Army,-6.68,-9.10,7.9,15.4,48.6,.545,.500,15,10,9,6
18,49.1,12.9,.500,.441,.295,.438,31,6,6,1,5,108.2,2182,35.3,70.4,2419,Auburn,7.39,15.04,8.9,15.0,53.7,.536,.806,25,12,16,5
19,48.7,8.2,.516,.331,.264,.368,33,12,4,0,10,108.9,2359,33.1,69.9,2519,Austin Peay,-4.14,-0.98,9.4,15.6,52.1,.552,.636,21,14,14,5
20,55.7,9.0,.509,.480,.214,.308,31,13,7,4,7,100.3,1938,25.4,69.3,2155,Ball State,-1.65,4.12,9.5,17.0,51.0,.537,.581,18,11,11,5
21,54.1,12.5,.494,.369,.213,.308,30,4,3,1,2,106.4,1804,35.7,66.6,2134,Baylor,9.13,20.13,12.2,14.9,52.5,.523,.867,26,15,14,8
22,61.3,8.0,.553,.438,.162,.227,33,7,3,1,5,109.4,2241,24.9,72.8,2627,Belmont,-6.23,4.30,10.4,14.6,50.5,.572,.788,26,15,13,11
23,46.3,7.5,.474,.313,.267,.381,30,14,6,1,13,98.3,2167,30.6,75.0,2239,Bethune-Cookman,-8.98,-10.16,9.5,17.6,50.5,.515,.533,16,10,10,4
24,47.3,7.9,.489,.479,.173,.238,29,19,12,7,12,99.6,2221,25.6,69.4,2014,Binghamton,-4.62,-15.03,7.5,15.5,47.1,.517,.345,10,4,7,3
25,50.2,4.1,.520,.421,.271,.362,32,12,7,2,8,106.5,2223,25.9,70.0,2430,Boise State,4.39,8.59,8.0,15.5,51.5,.560,.625,20,11,13,4
26,54.3,7.1,.465,.405,.191,.291,32,19,13,10,8,92.4,2260,25.4,69.6,2067,Boston College,7.86,1.82,11.0,17.3,46.4,.492,.406,13,7,8,4
27,46.8,6.1,.516,.344,.174,.270,34,13,6,3,8,105.0,2269,28.9,66.8,2410,Boston University,-5.30,-1.87,8.1,14.6,52.1,.534,.618,21,12,12,9
28,46.2,6.1,.479,.364,.215,.287,31,10,6,2,5,103.2,2259,28.7,71.6,2310,Bowling Green State,0.20,0.47,7.6,13.3,51.1,.517,.677,21,12,13,5
29,52.4,12.5,.499,.313,.235,.319,34,11,7,2,8,105.7,2240,31.5,67.3,2438,Bradley,0.33,5.33,7.1,14.9,53.5,.536,.676,23,11,15,4
30,58.4,5.4,.588,.414,.168,.239,32,8,3,1,5,112.8,2188,20.5,69.7,2548,Brigham Young,6.45,16.93,8.2,14.3,49.6,.603,.750,24,13,14,6
31,48.6,11.9,.455,.381,.237,.325,27,12,6,4,8,95.4,1854,32.3,70.2,1809,Brown,-1.72,-4.45,9.4,18.2,52.1,.497,.556,15,8,10,5
32,55.0,11.3,.485,.433,.206,.304,32,17,11,5,12,100.0,2223,31.6,70.7,2271,Bryant,-6.67,-6.70,9.1,17.2,52.0,.513,.469,15,7,9,6
33,50.0,9.4,.493,.418,.195,.284,34,20,10,4,14,96.7,2415,24.0,69.9,2299,Bucknell,-4.32,-7.73,10.2,17.0,47.9,.521,.412,14,8,9,4
34,51.0,11.1,.494,.378,.187,.280,32,12,7,7,4,104.5,2425,35.0,74.7,2516,Buffalo,0.06,1.80,10.3,15.3,52.5,.519,.625,20,11,10,7
35,50.9,7.8,.523,.368,.214,.294,31,9,8,3,6,105.7,1926,29.4,64.6,2125,Butler,9.14,15.56,8.2,15.4,53.3,.553,.710,22,10,14,5
36,43.9,6.9,.481,.340,.242,.348,30,23,12,6,15,95.4,2248,23.0,68.8,2027,Cal Poly,-0.42,-10.00,9.0,17.2,46.9,.516,.233,7,4,7,0
37,46.2,10.2,.478,.272,.214,.312,31,19,10,7,12,101.1,2097,36.1,66.0,2109,Cal State Bakersfield,-3.26,-7.11,9.3,16.9,54.7,.509,.387,12,6,9,3
38,47.7,7.7,.488,.338,.250,.371,31,20,10,8,11,96.8,2213,22.8,69.5,2127,Cal State Fullerton,-1.38,-6.79,7.2,16.6,48.0,.521,.355,11,6,6,4
39,51.2,8.7,.519,.339,.228,.313,32,17,6,4,12,106.6,2528,25.7,71.4,2435,Cal State Northridge,-0.97,-6.37,7.9,14.1,47.3,.551,.469,15,10,10,5
40,53.9,8.5,.524,.431,.271,.345,31,10,6,5,5,111.5,2170,32.4,70.5,2465,California Baptist,-6.66,-1.99,5.8,15.4,54.8,.567,.677,21,10,15,6
41,50.1,5.3,.534,.369,.248,.315,32,18,8,4,12,105.7,2286,23.4,68.4,2330,UC-Davis,-2.63,-4.70,8.4,16.7,48.3,.573,.438,14,8,8,5
42,53.5,9.9,.526,.298,.209,.283,32,11,3,2,8,107.1,2087,35.3,69.1,2367,UC-Irvine,-2.18,3.73,9.3,17.2,56.7,.555,.656,21,13,11,8
43,53.0,7.5,.510,.423,.186,.269,32,15,9,5,10,99.5,1939,27.6,64.4,2059,UC-Riverside,-4.18,-3.63,7.7,17.9,54.2,.535,.531,17,7,11,6
44,56.2,7.2,.517,.350,.278,.368,31,10,6,3,7,108.6,2054,32.2,64.9,2195,UC-Santa Barbara,-4.06,-0.57,7.2,15.7,53.6,.559,.677,21,10,13,8
45,41.5,7.4,.469,.284,.266,.360,32,18,11,5,10,95.1,2210,24.8,65.7,2023,University of California,9.05,3.20,6.1,17.2,49.6,.514,.438,14,7,12,1
46,59.2,8.3,.532,.415,.189,.258,31,16,12,5,10,101.9,2065,22.2,67.2,2130,Campbell,-8.10,-8.51,10.7,17.3,47.6,.558,.484,15,6,8,6
47,56.1,7.1,.485,.343,.210,.302,32,20,13,6,12,97.6,2265,28.9,70.3,2196,Canisius,-5.44,-7.60,10.1,17.7,48.9,.516,.375,12,7,7,4
48,58.0,12.7,.485,.404,.288,.402,31,21,11,4,16,96.1,2553,28.4,75.9,2316,Central Arkansas,-2.70,-11.26,6.8,20.0,50.3,.528,.323,10,9,8,2
49,44.4,9.4,.454,.316,.197,.291,31,27,15,9,16,89.3,2396,23.3,70.7,1959,Central Connecticut State,-4.63,-20.33,9.1,17.9,44.8,.486,.129,4,3,4,0
50,54.7,8.0,.494,.385,.219,.309,30,14,11,6,7,99.5,2037,28.8,68.7,2067,Central Florida,4.13,5.13,9.4,17.4,49.3,.526,.533,16,7,10,4
51,42.4,6.8,.491,.375,.249,.334,32,18,11,4,14,104.0,2454,27.9,75.0,2506,Central Michigan,-0.26,-3.40,12.1,14.7,48.8,.531,.438,14,7,12,2
52,53.5,7.0,.496,.428,.195,.262,32,18,11,6,11,99.2,2304,22.8,68.6,2203,Charleston Southern,-6.98,-13.14,8.6,16.2,46.3,.528,.438,14,7,9,5
53,52.3,10.5,.516,.368,.267,.380,29,13,8,2,11,98.2,1877,21.4,66.6,1922,Charlotte,-1.09,0.46,11.3,18.7,49.9,.550,.552,16,10,13,3
54,52.5,4.1,.529,.413,.206,.289,33,13,8,4,8,106.6,2261,26.8,68.2,2410,Chattanooga,-1.90,0.39,7.0,15.4,51.7,.556,.606,20,10,10,7
55,50.3,7.2,.468,.351,.295,.409,29,25,14,11,12,87.4,2372,22.6,70.3,1781,Chicago State,-2.85,-28.20,7.1,22.9,45.9,.516,.138,4,0,3,1
56,57.3,12.5,.503,.361,.268,.396,30,10,5,2,6,102.2,2014,32.0,68.9,2182,Cincinnati,6.73,12.33,9.2,17.5,52.5,.536,.667,20,13,13,5
57,54.8,7.9,.510,.469,.212,.307,30,24,18,11,12,97.7,2433,22.8,75.6,2244,Citadel,-1.00,-13.82,8.8,17.9,46.9,.538,.200,6,0,3,3
58,54.6,7.8,.501,.464,.199,.289,31,15,11,6,8,98.7,1988,23.3,66.6,2062,Clemson,7.88,10.26,10.1,16.5,49.3,.528,.516,16,9,11,3
59,51.4,7.5,.450,.230,.258,.388,32,21,11,8,13,92.4,2298,32.0,68.9,2053,Cleveland State,-2.45,-11.16,11.1,18.8,49.2,.489,.344,11,7,6,3
60,48.7,8.7,.510,.354,.247,.345,33,17,12,9,7,105.4,2518,35.9,74.0,2573,Coastal Carolina,-0.31,-0.83,10.2,18.3,54.1,.545,.485,16,8,9,7
61,52.7,7.9,.531,.460,.184,.246,34,9,4,2,7,110.3,2315,28.0,68.8,2588,Colgate,-5.63,1.47,8.8,13.7,51.0,.557,.735,25,14,15,9
62,44.6,7.2,.509,.398,.250,.328,31,14,7,5,6,105.0,2109,22.9,66.9,2176,College of Charleston,-0.84,0.53,10.0,14.4,47.4,.548,.548,17,11,10,6
63,59.1,5.8,.541,.393,.265,.390,32,12,7,4,6,106.8,2307,26.5,69.7,2417,Colorado State,3.96,6.70,9.2,16.4,52.0,.569,.625,20,11,12,5
64,54.3,7.9,.505,.386,.266,.362,32,11,8,3,7,103.2,2057,30.2,68.2,2268,Colorado,8.31,14.91,8.3,16.8,53.9,.544,.656,21,10,13,4
65,44.1,8.4,.465,.369,.164,.224,30,24,13,7,16,94.0,2181,20.4,69.6,1988,Columbia,-2.50,-10.19,7.8,14.3,47.1,.494,.200,6,1,5,0
66,51.2,15.0,.478,.358,.257,.346,31,12,8,3,7,102.3,2078,34.1,69.0,2258,Connecticut,5.34,11.15,10.0,16.8,51.9,.521,.613,19,10,14,3
67,42.0,7.8,.460,.470,.209,.328,31,20,9,5,15,90.8,2298,23.5,74.3,2109,Coppin State,-8.27,-14.36,8.9,17.1,47.4,.488,.355,11,7,5,6
68,56.8,8.5,.504,.393,.188,.269,27,20,10,6,14,100.3,1912,24.8,66.2,1818,Cornell,-1.85,-8.37,10.0,15.4,47.8,.531,.259,7,4,6,1
69,56.5,6.6,.553,.426,.214,.290,31,7,5,1,5,111.5,2162,23.6,70.0,2428,Creighton,9.61,17.24,9.3,13.9,48.5,.580,.774,24,13,17,6
70,52.0,8.0,.506,.397,.185,.274,29,17,9,6,10,97.3,1872,20.7,66.5,1894,Dartmouth,-3.20,-4.17,6.9,16.5,51.2,.530,.414,12,5,6,5
71,55.9,7.7,.534,.445,.240,.315,30,14,8,1,9,108.6,2025,24.7,65.4,2182,Davidson,3.62,8.85,8.2,14.7,50.4,.569,.533,16,10,11,4
72,60.3,9.2,.597,.390,.244,.339,31,2,0,0,0,116.4,2000,26.4,67.9,2480,Dayton,3.69,19.17,8.3,15.8,52.5,.619,.935,29,18,17,9
73,40.5,6.2,.473,.395,.226,.330,32,26,12,11,13,95.6,2655,26.4,76.3,2350,Delaware State,-9.54,-20.87,8.9,17.4,47.3,.507,.188,6,4,3,2
74,48.9,9.3,.549,.385,.239,.316,33,11,7,3,6,107.9,2332,24.5,68.6,2452,Delaware,-3.84,-1.53,7.9,16.7,50.4,.582,.667,22,11,10,7
75,45.1,7.0,.491,.291,.250,.362,31,24,13,8,14,95.4,2360,20.8,71.6,2135,Denver,-1.99,-10.06,8.1,17.4,48.3,.525,.226,7,3,6,0
76,52.2,14.8,.484,.304,.219,.333,32,16,15,7,9,97.8,2274,30.9,71.7,2262,DePaul,8.95,7.63,11.1,17.5,50.3,.512,.500,16,3,11,4
77,44.5,8.2,.462,.441,.251,.321,31,23,12,8,14,99.0,2422,30.8,70.6,2175,Detroit Mercy,-1.90,-9.87,8.1,16.5,49.5,.510,.258,8,6,5,2
78,59.4,11.6,.524,.381,.218,.305,34,14,10,2,10,101.6,2302,23.5,68.0,2359,Drake,0.61,0.43,8.1,17.0,51.4,.553,.588,20,8,14,2
