,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Akron,36,23,13,.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,,,,.096,,50.8,,,,.451,,,,2009
1,Alabama State,32,22,10,.688,-6.13,-11.20,16,2,10,1,8,7,2202,2025,,,,.083,,49.7,,,,.437,,,,2009
2,American,32,24,8,.750,-0.05,-5.49,13,1,13,1,11,6,2065,1891,,,,.110,,48.1,,,,.452,,,,2009
3,Arizona State,35,25,10,.714,16.70,7.82,11,7,12,3,6,4,2428,2117,,,,.117,,49.0,,,,.470,,,,2009
4,Arizona,35,21,14,.600,11.88,8.80,9,9,14,3,2,9,2529,2421,,,,.143,,48.3,,,,.510,,,,2009
5,Binghamton,32,23,9,.719,-3.27,-5.62,13,3,12,2,9,6,2239,2156,,,,.103,,51.5,,,,.463,,,,2009
6,Boston College,34,22,12,.647,10.36,7.23,9,7,15,4,5,5,2528,2397,,,,.098,,48.1,,,,.474,,,,2009
7,Brigham Young,33,25,8,.758,15.12,4.15,12,4,14,2,9,3,2544,2150,,,,.104,,47.3,,,,.459,,,,2009
8,Butler,32,26,6,.813,10.07,2.07,15,3,15,2,11,3,2168,1854,,,,.111,,47.5,,,,.441,,,,2009
9,Cal State Northridge,31,17,14,.548,2.65,-0.14,11,5,10,2,5,11,2282,2178,,,,.125,,47.6,,,,.482,,,,2009
10,University of California,33,22,11,.667,13.30,7.21,11,7,16,2,6,6,2472,2271,,,,.097,,48.4,,,,.490,,,,2009
11,Chattanooga,35,18,17,.514,-6.25,-3.13,11,9,13,3,5,10,2657,2687,,,,.168,,48.3,,,,.525,,,,2009
12,Clemson,32,23,9,.719,15.56,6.59,9,7,13,3,7,5,2507,2177,,,,.103,,48.7,,,,.483,,,,2009
13,Cleveland State,37,26,11,.703,6.97,2.12,12,6,13,2,8,8,2455,2203,,,,.096,,49.6,,,,.459,,,,2009
14,Connecticut,36,31,5,.861,22.17,8.57,15,3,14,2,9,1,2819,2313,,,,.092,,44.2,,,,.424,,,,2009
15,Cornell,31,21,10,.677,2.71,-4.01,11,3,14,0,5,8,2281,2007,,,,.091,,47.8,,,,.461,,,,2009
16,Dayton,35,27,8,.771,7.16,1.76,11,5,18,0,5,5,2339,2150,,,,.118,,46.8,,,,.456,,,,2009
17,Duke,37,30,7,.811,20.10,9.07,11,5,16,1,6,5,2867,2439,,,,.088,,48.1,,,,.478,,,,2009
18,East Tennessee State,34,23,11,.676,3.21,-1.87,14,6,11,2,9,6,2657,2383,,,,.138,,49.1,,,,.476,,,,2009
19,Florida State,35,25,10,.714,11.37,7.91,10,6,13,3,8,5,2392,2271,,,,.120,,49.4,,,,.447,,,,2009
20,Gonzaga,34,28,6,.824,17.95,3.55,14,0,11,2,9,1,2684,2142,,,,.124,,47.8,,,,.440,,,,2009
21,Illinois,34,24,10,.706,14.38,6.73,11,7,14,3,5,6,2204,1944,,,,.094,,50.1,,,,.442,,,,2009
22,Kansas,35,27,8,.771,18.02,7.90,14,2,18,0,6,4,2674,2290,,,,.114,,44.9,,,,.440,,,,2009
23,Louisiana State,35,27,8,.771,11.87,3.27,13,3,19,2,6,3,2617,2316,,,,.094,,46.5,,,,.456,,,,2009
24,Louisville,37,31,6,.838,20.87,8.41,16,2,16,2,8,1,2748,2287,,,,.094,,48.2,,,,.443,,,,2009
25,Marquette,35,25,10,.714,15.06,7.87,12,6,16,2,7,4,2739,2432,,,,.121,,48.0,,,,.509,,,,2009
26,Maryland,35,21,14,.600,11.10,8.99,7,9,14,4,2,6,2512,2419,,,,.118,,51.1,,,,.481,,,,2009
27,Memphis,37,33,4,.892,20.92,4.63,16,0,19,1,10,1,2779,2176,,,,.085,,45.8,,,,.414,,,,2009
28,Michigan State,38,31,7,.816,17.71,9.37,15,3,12,2,9,1,2737,2420,,,,.113,,43.2,,,,.472,,,,2009
29,Michigan,35,21,14,.600,11.90,9.74,9,9,14,3,3,8,2341,2213,,,,.105,,52.5,,,,.488,,,,2009
30,Minnesota,33,22,11,.667,11.32,7.19,9,9,16,3,4,6,2189,2032,,,,.131,,48.5,,,,.466,,,,2009
31,Mississippi State,36,23,13,.639,9.10,4.62,9,7,13,5,6,5,2677,2479,,,,.103,,50.6,,,,.445,,,,2009
32,Missouri,38,31,7,.816,19.56,6.72,12,4,18,0,5,4,3096,2571,,,,.091,,50.4,,,,.463,,,,2009
33,Morehead State,36,20,16,.556,-3.14,-3.61,12,6,12,1,4,12,2511,2411,,,,.127,,44.1,,,,.483,,,,2009
34,Morgan State,35,23,12,.657,-2.29,-6.53,13,3,8,2,10,7,2333,2182,,,,.081,,47.6,,,,.448,,,,2009
35,North Carolina,38,34,4,.895,25.46,8.35,13,3,14,1,8,2,3413,2735,,,,.111,,45.9,,,,.466,,,,2009
36,North Dakota State,33,26,7,.788,6.18,-2.72,16,2,12,1,10,4,2659,2279,,,,.093,,46.9,,,,.497,,,,2009
37,Northern Iowa,34,23,11,.676,5.63,2.24,14,4,11,4,8,4,2290,2158,,,,.133,,47.6,,,,.485,,,,2009
38,Ohio State,33,22,11,.667,12.48,8.23,10,8,15,3,4,7,2206,2046,,,,.141,,51.1,,,,.477,,,,2009
39,Oklahoma State,35,23,12,.657,13.78,7.44,9,7,14,2,4,6,2830,2608,,,,.117,,51.1,,,,.502,,,,2009
40,Oklahoma,36,30,6,.833,18.07,6.88,13,3,16,1,7,3,2833,2430,,,,.120,,46.1,,,,.458,,,,2009
41,Pittsburgh,36,31,5,.861,21.21,8.61,15,3,19,0,7,2,2787,2320,,,,.112,,43.4,,,,.463,,,,2009
42,Portland State,33,23,10,.697,1.14,-3.16,11,5,13,1,7,7,2417,2262,,,,.106,,49.7,,,,.507,,,,2009
43,Purdue,37,27,10,.730,16.44,7.17,11,7,18,3,5,5,2555,2212,,,,.100,,50.4,,,,.441,,,,2009
44,Radford,33,21,12,.636,-4.55,-4.37,15,3,12,5,9,6,2491,2372,,,,.126,,45.8,,,,.462,,,,2009
45,Robert Morris,35,24,11,.686,-0.70,-5.23,15,3,14,3,9,7,2467,2288,,,,.122,,49.2,,,,.488,,,,2009
46,Siena,35,27,8,.771,8.05,0.99,16,2,17,0,9,4,2709,2462,,,,.110,,50.3,,,,.492,,,,2009
47,Southern California,35,22,13,.629,14.09,9.15,9,9,15,2,2,8,2397,2224,,,,.116,,46.1,,,,.463,,,,2009
48,Stephen F. Austin,32,24,8,.750,1.10,-3.21,13,3,13,0,6,7,2099,1795,,,,.076,,49.5,,,,.414,,,,2009
