,year,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,Abilene Christian,31,20,11,.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,71.1,90.4,.471,.335,.535,49.9,44.5,9.4,10.0,.482,24.6,27.8,.346
3,2020,Air Force,32,12,20,.375,-0.37,3.02,5,13,8,7,3,9,2338,2386,68.9,108.2,.293,.488,.579,50.0,55.1,9.1,8.6,.555,15.1,22.4,.208
4,2020,Akron,31,24,7,.774,7.15,-0.40,14,4,15,2,8,4,2348,2062,70.6,94.2,.286,.337,.481,49.3,42.2,8.5,8.6,.451,16.1,29.1,.191
5,2020,Alabama A&M,30,8,22,.267,-18.88,-8.85,5,13,6,5,2,16,1845,2146,69.5,102.4,.352,.349,.539,52.7,51.3,9.5,11.1,.513,16.1,27.0,.233
6,2020,Alabama-Birmingham,32,19,13,.594,-0.94,-1.64,9,9,11,6,5,7,2154,2088,67.2,97.2,.267,.409,.514,45.3,47.2,10.1,8.5,.483,16.2,24.3,.191
7,2020,Alabama State,32,8,24,.250,-16.15,-6.53,7,11,4,5,2,16,1965,2273,70.8,100.3,.383,.344,.540,52.9,50.2,10.5,10.7,.513,17.9,29.6,.251
8,2020,Alabama,31,16,15,.516,11.12,8.12,8,10,10,5,4,8,2542,2449,76.1,102.2,.359,.347,.523,50.3,43.4,11.0,12.4,.479,15.7,30.8,.266
9,2020,Albany (NY),32,14,18,.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,69.7,97.9,.279,.390,.515,50.2,54.6,11.0,11.0,.487,16.1,25.5,.193
10,2020,Alcorn State,30,15,15,.500,-14.64,-9.64,11,7,11,2,4,13,2251,2196,72.6,100.0,.357,.342,.530,48.7,52.8,10.1,8.1,.506,16.6,27.4,.229
11,2020,American,30,16,14,.533,-4.37,-6.50,12,6,10,4,6,10,2149,2085,69.0,100.4,.367,.315,.532,51.5,47.8,8.6,8.4,.497,17.3,29.4,.256
12,2020,Appalachian State,33,18,15,.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,68.6,97.8,.262,.396,.524,50.3,55.0,9.9,7.8,.495,18.3,28.0,.188
13,2020,Arizona State,31,20,11,.645,11.46,8.10,11,7,13,3,6,5,2288,2184,73.7,95.5,.342,.382,.523,51.5,50.5,8.9,9.9,.491,19.6,28.4,.233
